Animal Name,Exposure Endpoint Type,Endpoint Value,Endpoint Description,Range,Units,Error,Sex,Life Cycle Stage,Location,Sample Size,Type
Sterna antillarum (Least Tern),Survival/ Mortality,Review,Percent survival,,,,,Embryo,Salt Plains National Wildlife Refuge,,Exposure Factor Datasets
Sterna antillarum (Least Tern),Clutch or Litter Size,"1995: 2.7, 1996: 2.3, 1997: 2.0",Clutch size,,,,,Embryo,"Cow Island, lower Mississippi River","1995: 550, 1996: 265, 1997: 172",Exposure Factor Datasets
Sterna antillarum (Least Tern),Clutch or Litter Size,"1995: 2.6, 1996: 2.3, 1997: 1.9",Clutch size,,,,,Embryo,"Porter Lake, lower Mississippi River","1995: 201, 1996: 392, 1997:361",Exposure Factor Datasets
Sterna antillarum (Least Tern),Clutch or Litter Size,"1995: 2.4, 1996: 2.6, 1997: 1.9",Clutch size,,,,,Embryo,"St. Francis, lower Mississippi River","1995: 245, 1996: 183, 1997: 374",Exposure Factor Datasets
Sterna antillarum (Least Tern),Clutch or Litter Size,"1995: 2.4, 1996: 2.5, 1997: 2.1",Clutch size,,,,,Embryo,"Kangaroo Pt., lower Mississippi River","1995: 219, 1996: 159, 1997: 346",Exposure Factor Datasets
Sterna antillarum (Least Tern),Time of Mating/ Laying,"1995: 181, 1996: 184, 1997: 199",Clutch initiation dates,,,,,Embryo,"Cow Island, lower Mississippi River","1995: 546, 1996: 272, 1997: 182",Exposure Factor Datasets
Sterna antillarum (Least Tern),Time of Mating/ Laying,"1995: 183, 1996: 187, 1997: 187",Clutch initiation dates,,,,,Embryo,"Porter Lake, lower Mississippi River","1995: 195, 1996: 371, 1997: 372",Exposure Factor Datasets
Sterna antillarum (Least Tern),Time of Mating/ Laying,"1995: 187, 1996: 192 1997: 187",Clutch initiation dates,,,,,Embryo,"St. Francis, lower Mississippi River","1995: 255, 1996: 196, 1997: 382",Exposure Factor Datasets
Sterna antillarum (Least Tern),Time of Mating/ Laying,"1995: 179, 1996: 182, 1997: 161",Clutch initiation dates,,,,,Embryo,"Kangaroo Pt., lower Mississippi River","1995: 240, 1996: 161, 1997: 481",Exposure Factor Datasets
Sterna antillarum (Least Tern),Hatching Success,"1995: 0.97, 1996: 0.03, 1997: 0.93",,,,,,Embryo,"Cow Island, lower Mississippi River","1995: 1472, 1996: 624, 1997: 349",Exposure Factor Datasets
Sterna antillarum (Least Tern),Hatching Success,"1995: 0.93, 1996: 0.30, 1997: 0.08",,,,,,Embryo,"Porter Lake, lower Mississippi River","1995: 520, 1996: 911, 1997: 671",Exposure Factor Datasets
Sterna antillarum (Least Tern),Hatching Success,"1995: 0.95, 1996: 0.90, 1997: 0.59",,,,,,Embryo,"St. Francis, lower Mississippi River","1995: 602, 1996: 483, 1997: 708",Exposure Factor Datasets
Sterna antillarum (Least Tern),Hatching Success,"1995: 0.87, 1996: 0.63, 1997: 0.40",,,,,,Embryo,"Kangaroo Pt., lower Mississippi River","1995: 527, 1996: 397, 1997: 727",Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Dietary Composition,"Chaetodipus arenarius (11.0), Chaetopidus baileyi (20.5), Peromyscus eva (15.0)","Species captured (mean weight, g)",,,,,,Baja California Sur,Not reported,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Body Weight - Mean,45 g,,,,,NR,Not Reported,Baja California Sur,3,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Time of Nesting,April 27-28 (117.4 Julian day),Mean initiation date,,,,B,Adult,Kirkland Airfore Base,147,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Clutch or Litter Size,5.4,First/second broods combined,,,0.2,B,Embryo,Kirkland Airfore Base,128,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Fledging or Weaning Rate,4.6,Number fledged per successful nest,,,0.4,B,Fledgling,Kirkland Airfore Base,67,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Population Density,29.2,"Number of breeding pairs/15,000 ha",,,,B,Adult,Kirkland Airfore Base,175,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Clutch or Litter Size,"1991: 4.9, 1992: 5.6",,,,"1991: 0.1, 1992: 0.2",B,Embryo,Three sites in southern Ontario,"1991: 27, 1992: 50 breeding pairs",Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Fledging or Weaning Rate,"1991: 3.9, 1992: 4.2",Number fledged per successful nest,,,"1991: 0.3, 1992: 0.3",B,Fledgling,Three sites in southern Ontario,"1991: 27, 1992: 50 breeding pairs",Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Clutch or Litter Size,"Roadside nests: 5.2, interior nests: 6.1",,,,"Roadside nests: 1.3, interior nests: 0.5",B,Embryo,,,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Hatching Success,"Roadside nests: 71.7%, interior nests: 94.6%",,,,,B,Embryo,,,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Fledging or Weaning Rate,"Roadside nests: 55.3%, interior nests: 79.2%",,,,,B,Fledgling,,,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Clutch or Litter Size,Review,,,,,B,,,13-222,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Fledging or Weaning Rate,Review,,,,,B,,,,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Time of Migration or Dispersal,August 11-September 22,,,,,B,Juvenile,"Kirkfield, Ontario",38,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Survival/ Mortality,"2007: 75.7%, 2008: 75.0%",,,,,B,Juvenile,"Kirkfield, Ontario",38,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Time of Fledging or Metamorphosis,June 9-July 30,,,,,B,Juvenile,"Kirkfield, Ontario",38,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Clutch or Litter Size,2-7 nestlings/pair,,,,,B,Nestling,"Kirkfield, Ontario",38,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Clutch or Litter Size,4.7,,,,1.5,B,Embryo,,459 nesting attempts; 98 individuals,Exposure Factor Datasets
Lanius ludovicianus (Loggerhead Shrike),Fledging or Weaning Rate,3.6,,,,1.5,B,Fledgling,,459 nesting attempts; 98 individuals,Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Fledging or Weaning Rate,See citation Table 2,Number of fledglings produced by each female of a group,,,,B,Fledgling,Central Brazil,,Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Home Range,"1999: 20 [15-26 (95% CI)], 2000: 30 [3-112 (95% CI)]","Mean by fixed kernel, activity range (50%)",,,,B,Adult,Central interior British Columbia,"1999: 24, 2000: 28",Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Home Range,"1999: 20 [15-26 (95% CI)], 2000: 34 [27-43 (95% CI)]",Mean by min convex polygon (95%),,,,B,Adult,Central interior British Columbia,"1999: 24, 2000: 28",Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Survival/ Mortality,0.43 [0.38-0.48 (95% CI)],Modeled estimate,,,,B,Adult,"Risk Creek, British Columbia (51⁰52'N,
122⁰21'W)",See citation,Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Survival/ Mortality,"Model A: 0.47, model B: 0.46",Modeled estimate,,,,B,Adult,"Risk Creek, British Columbia (51⁰52'N,
122⁰21'W)",1117,Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Foraging Distance,"4th d post-fledge: 50, 18th d: 592",Distance traveled by fledglings,,,"4th d post-fledge: 232, 18th d: 353",B,Fledgling,"Risk Creek, British Columbia (51⁰52'N,
122⁰21'W)",,Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Survival/ Mortality,0.994,Modeled daily survival over 22 d,,,0.004,B,Fledgling,"Risk Creek, British Columbia (51⁰52'N,
122⁰21'W)",,Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Population Density,See citation,,,,,,,Harvey County,,Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Population Density,"Postburn grassland: 0.02, shrub-steppe: 0.01, mid-successional juniper: 0.11, old-growth juniper: 0.14",Mean densities per cover type,,,"Postburn grassland: 0.01, shrub-steppe: 0.01, mid-successional juniper: 0.01, old-growth juniper: 0.02",B,,Central Oregon,,Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Population Density,"Reference: 0.7, Group: 0.5, Old standard: 0.8, Standard: 0.7,  Heavy: 0.6",Breeding pair density by silvicutlure treatment,,,"Reference: 0.03, Group: 0.03, Old standard: 0.12, Standard: 0.11,  Heavy: 0.08",B,Adult,"London, Ontario",,Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Clutch or Litter Size,7.61,,,,1.52,B,Embryo,"Central British Columbia (51⁰52'N, 122⁰21'W)",139 nests,Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Body Weight - Mean,See citation Table 1,Egg metrics,,,,,Embryo,"Risk Creek, British Columbia (51⁰52'N,
122⁰21'W)",See citation,Exposure Factor Datasets
Colaptes auratus (Northern Flicker),Body Fat (total or %),"Lipid in dry yolk: 57.3, total dry lipid: 0.22",Egg percent lipid,,,"Lipid in dry yolk: 2.7, total dry lipid: 0.01",,Embryo,"Risk Creek, British Columbia (51⁰52'N,
122⁰21'W)","Lipid in dry yolk: 13, total dry lipid: 27",Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Dietary Composition,"Turdus migratorius: 11, Leucophaeus pipixcan: 8, Sialia currucoides: 6, Phalaropus fulicarius: 6, Colaptes auratus: 5, Phalaropus tricolor: 5, other Scolophacidae spp.: 7, Icteridae spp.: 7, other picidae spp.: 6, Fringillidae spp.: 5, other birds: 32, other animals: 3",Percent frequency of prey remains,,,,B,Nestling,Yellowstone National Park,9 eyries,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Dietary Composition,"Synthliboramphus antiquus, Streptopelia orientalis, S. qumizusume, Zoothera dauma, Swimhow's Storm-Petrel, Larus crassirostris, Japanese Murrelet, Pitta nympha, Otus sunia, Otus semitroques, Asio otus, Caprimulgus indicus",,,,,,,,393 pellets,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Hatching Success,See citation Table 1,Hatched eggs from succesful clutches,,,,,Embryo,"NJ, PA, DE, MD, VA",93,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Clutch or Litter Size,See citation Table 1,Chicks/breeding pair,,,,NR,Chick,,820 nests,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Population Density,9,"Breeding pairs/1,500 sq km",,,,B,Adult,,820 nests,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Dietary Composition,See citation Table 2,Prey types,,,,B,Adult,,,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Dietary Composition,See citation Figure 4,Identifiable prey,,,,,Adult,,"Urban: 10, nonurban: 11 nests",Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Dietary Composition,See citation Figure 2,Identifiable prey,,,,,,Coastal vs. urban populations,"Coastal: 30, urban: 31",Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Time of Mating/ Laying,"Tritriva: June, Tsimanampetsotsa: July",Courtship initiation,,,,,Adult,,3,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Time of Mating/ Laying,"Tritriva: July, Tsimanampetsotsa: August",Egg laying,,,,,Adult,,3 nests,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Time of Fledging or Metamorphosis,42,Days posthatch,,,,,Fledgling,Tsimanampetsotsa,,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Clutch or Litter Size,3-Feb,,,,,,Embryo,Tsimanampetsotsa,2 nests,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Dietary Composition,See citation Figure 2,Seasonal changes in diet,,,,,,Warsaw buildings,486 prey remains,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Population Density,1.16,Pairs/100 sq km,,,,B,Adult,Central-eastern Italian Alps,249,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Time of Mating/ Laying,43170,,,,,B,Adult,Central-eastern Italian Alps,249,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Dietary Composition,"Turdus pilaris: 8.34, Turdus merula: 4.82, Columba livia: 12.27, Garrulus gladnarius: 6.87, Stumus vulgaris: 2.75, Corvus corone cornix: 19.50, other Columbidae: 12.48, Other Turdidae: 4.39, Other birds: 28.58",Percent by mass from pellets/prey remains,,,,B,Adult,Central-eastern Italian Alps,249,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Population Density,Review,Pairs/100 sq km,,,,B,Adult,,,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Body Weight - Mean,See citation Table 6,Egg metrics,,,,,Embryo,,See citation,Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Fledging or Weaning Rate,"1998: 1.27, 1999: 2.67, 2000: 2.31, 2001: 2.36, 2002: 1.96, 2003: 2.41",Mean number fledglings/territorial pair,,,,,Fledgling,Biskaia,"1998: 11, 1999: 12, 2000: 13, 2001: 22, 2002: 29, 2003: 34",Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Fledging or Weaning Rate,"1998: 1.4, 1999: 2.91, 2000: 2.54, 2001: 2.48, 2002: 2.48, 2003: 2.75",Mean number fledglings/breeding pair,,,,,Fledgling,Biskaia,"1998: 11, 1999: 12, 2000: 13, 2001: 22, 2002: 29, 2003: 34",Exposure Factor Datasets
Falco peregrinus (Peregrine Falcon),Fledging or Weaning Rate,"1998: 2, 1999: 2.91, 2000: 2.5, 2001: 2.89, 2002: 2.71, 2003: 3.21",Mean number fledglings/successful breeding pair,,,,,Fledgling,Biskaia,"1998: 11, 1999: 12, 2000: 13, 2001: 22, 2002: 29, 2003: 34",Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Population Density,67,"Individuals/33,000 ha",,,,B,Both Adults and Juveniles,Exportadora de Sal S.A. de C.V. saltworks,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Population Density,54,"Individuals/21,000 ha",,,,B,Both Adults and Juveniles,Guerrero Negro Lagoon,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Population Density,234,"Individuals/57,100 ha",,,,B,Both Adults and Juveniles,Ojo de Liebre Lagoon,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Population Density,See citation,"Monthly & seasonal  census/111,100 ha",,,,B,Both Adults and Juveniles,Guerrero Negro wetland complex,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Hatching Success,"2001: 59, 2002: 48, 2003: 76, 2004: 60",Chick success: % chicks that survived 28 d,,,,,Chick,Eel River gravel bars,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Hatching Success,"2001: 39, 2002: 11, 2003: 14, 2004: 44",Chick success: % chicks that survived 28 d,,,,,Chick,Beach sites,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Time of Fledging or Metamorphosis,28 d posthatch,,,,,B,Fledgling,,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Time of Fledging or Metamorphosis,Review,,,,,,Fledgling,,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,Review,Percent mortality,,,,,Fledgling,,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,Review,Timing of mortality,,,,,Fledgling,,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,2.3,Average longevity,,,1.6,M,Adult,"Humboldt, Del Norte, & Mendocino Counties",102,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,1.9,Average longevity,,,1.2,F,Adult,"Humboldt, Del Norte, & Mendocino Counties",123,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Population Density,See citation Figure 2,Number of breeding adults/area by year,,,,B,Adult,,See citation,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Dietary Composition,"Small crabs, sand hoppers, marine worms",,,,,M,Adult,,1,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Population Density,Review,Distribution/occurrence in eastern US,,,,,,,3536 records,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Longevity,2.3,Lifespan of birds attaining >1y,,,1.8,,,Beaches & Eel River,132,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,0.978,Modeled daily survival rate,,,0.008,,Adult,Lewis and Clark Lake,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,0.588,Modeled annual survival rate,,,0.119,,Adult,Lewis and Clark Lake,132,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Hatching Success,0.5,,,,,,Embryo,Lewis and Clark Lake,56,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Time of Hatching or Parturition,,,July 07-21,,,B,Embryo,Lewis and Clark Lake,56 eggs,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Time of Nesting,,,May 23-June 21,,,B,Adult,Lewis and Clark Lake,11 nests,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Time of Hatching or Parturition,See citation Figure 3,,,,,,Embryo,,801 nests,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Time of Nesting,See citation Figure 3,,,,,B,Adult,,801 nests,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Hatching Success,"1994: 0.42, 1995: 0.45, 1996: 0.33, 1997: 0.48, 1998: 0.46",Fledglings/nest,,,,B,Fledgling,,801 nests,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,65,,,,,B,Adult,Saline lakes on Southern High Plains,184 surveys,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,12,,,,,B,Juvenile,Saline lakes on Southern High Plains,184 surveys,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,21.2 [16.9-25.6 (95% CI)],Annual survival,,,,B,Both Adults and Juveniles,Quivira National Wildlife Refuge,232 nests,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,10.5 [4.3-20.0 (95% CI)],Annual survival,,,,B,Both Adults and Juveniles,Cheyenne Bottoms Wilderness Area,31 nests,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,29.4 [23.0-36.5 (95% CI)],Annual survival,,,,B,Both Adults and Juveniles,Quivira National Wildlife Refuge,100 nests,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,0.942 [0.934-0.949 (95% CI)],Nest daily survial rate,,,,B,Chick,Quivira National Wildlife Refuge,232 nests,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,0.917 [0.886-0.940 (95% CI)],Nest daily survial rate,,,,B,Chick,Cheyenne Bottoms Wilderness Area,31 nests,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,0.954 [0.945-0.962 (95% CI)],Nest daily survial rate,,,,B,Chick,Quivira National Wildlife Refuge,100 nests,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,0.463,Modeled survival from fledgling to following April,,,0.018,B,Juvenile,Central coast California,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,0.691,Modeled survival from fledgling to following April,,,0.033,B,Adult,Central coast California,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,0.734,Modeled survival,,,0.028,M,Adult,Monterey Bay,354,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Survival/ Mortality,0.693,Modeled survival,,,0.03,F,Adult,Monterey Bay,346,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Population Density,See citation Table 2,Population estimates in North America,,,,,,All of North America,23555 estimated total,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Home Range,,Cumulative homerange by chick age,,,,B,Chick,Clam Beach,,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Home Range,1027,Adults tending broods in first 10 d,,,172,B,Adult,Clam Beach,29,Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Home Range,"Inside fence: 780, outside fence: 1353",Daily distance from nest,,,"Inside fence: 90, outside fence: 90",M,Adult,Clam Beach,"Inside fence: 5, outside fence: 5",Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Home Range,"Inside fence: 438, outside fence: 732",Daily distance from nest,,,"Inside fence:42, outside fence: 65",M,Adult,Clam Beach,"Inside fence: 10, outside fence: 9",Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Clutch or Litter Size,"1995: 2.66, 1996: 2.83",,,,"1995: 0.62, 1996: 0.46",,Embryo,Alkaline flat at Salt Plains National Wildife Refuge,"1995: 238, 1996: 177",Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Hatching Success,"1995: 0.37, 1996: 0.51",Nest success based on observation,,,,,Embryo,Alkaline flat at Salt Plains National Wildife Refuge,"1995: 238, 1996: 177",Exposure Factor Datasets
Charadrius nivosus (Snowy Plover),Hatching Success,"1995: 0.37, 1996: 0.58",Nest success based on Mayfield Method,,,,,Embryo,Alkaline flat at Salt Plains National Wildife Refuge,"1995: 98, 1996: 77",Exposure Factor Datasets
Melospiza melodia (Song Sparrow),Body Weight - Mean,"Control diet: 25.7, experimental diet (60% control by vol): 18.9",Peak mass,,,"Control: 0.7, experimental: 0.7",F,Chick,Nestlings collected from Hartstown,"Control: 12, experimental: 8",Exposure Factor Datasets
Melospiza melodia (Song Sparrow),Body Weight - Mean,"Control diet: 25.5, experimental diet (60% control by vol): 17.9",Mass at end of treatment (18 d),,,"Control: 0.7, experimental: 0.8",F,Chick,Nestlings collected from Hartstown,"Control: 12, experimental: 8",Exposure Factor Datasets
Melospiza melodia (Song Sparrow),Body Weight - Mean,"Control diet: 26.4, experimental diet (60% control by vol): 20.3",Peak mass,,,"Control: 0.6, experimental: 0.5",M,Chick,Nestlings collected from Hartstown,"Control: 11, experimental: 16",Exposure Factor Datasets
Melospiza melodia (Song Sparrow),Body Weight - Mean,"Control diet: 26.4, experimental diet (60% control by vol): 18.6",Mass at end of treatment (18 d),,,"Control: 0.6, experimental: 0.4",M,Chick,Nestlings collected from Hartstown,"Control: 11, experimental: 16",Exposure Factor Datasets
Aechmophorus occidentalis (Western Grebe),Body Weight - Mean,1309,,,,162,M,Adult,,189,Exposure Factor Datasets
Aechmophorus occidentalis (Western Grebe),Body Weight - Mean,1058,,,,129,F,Adult,,194,Exposure Factor Datasets
Aechmophorus occidentalis (Western Grebe),Time of Nesting,See citation Table 1,Nest initation dates,,,,,Adult,"Delta Marsh, Manitoba",,Exposure Factor Datasets
Aechmophorus occidentalis (Western Grebe),Survival/ Mortality,"1973: 46, 1974: 84, 2009:  49, 2010: 43",Nest survival,,,,,Embryo,"Delta Marsh, Manitoba","1973: 195. 1974: 181, 2009: 211, 2010: 445 nests",Exposure Factor Datasets
Aechmophorus occidentalis (Western Grebe),Clutch or Litter Size,See citation Table 1,Brood size as % of n,,,,,Embryo,Clear Lake,See citation,Exposure Factor Datasets
Aechmophorus occidentalis (Western Grebe),Clutch or Litter Size,See citation Table 2,Brood size as % of n,,,,,Embryo,Eagle Lake,See citation,Exposure Factor Datasets
Sturnella neglecta (Western Meadowlark),Survival/ Mortality,0.981,Daily survival,,,,,Adult,Nebraska Sandhills grasslands,46,Exposure Factor Datasets
Sturnella neglecta (Western Meadowlark),Population Density,2.6,Mean nests/40 ha,,,0.46,,,Bowdoin National Wildlife Refuge,92,Exposure Factor Datasets
Sturnella neglecta (Western Meadowlark),Time of Mating/ Laying,43255,Clutch initation date,,,,,Adult,Bowdoin National Wildlife Refuge,,Exposure Factor Datasets
Sturnella neglecta (Western Meadowlark),Hatching Success,82,% hatched eggs/total laid,,,,,Embryo,Bowdoin National Wildlife Refuge,119,Exposure Factor Datasets
Sturnella neglecta (Western Meadowlark),Clutch or Litter Size,4.4,,,,0.3,,Embryo,Bowdoin National Wildlife Refuge,119,Exposure Factor Datasets
Sturnella neglecta (Western Meadowlark),Hatching Success,0.4,Nest success,,,,,Embryo,Bowdoin National Wildlife Refuge,119,Exposure Factor Datasets
Sturnella neglecta (Western Meadowlark),Population Density,"Postburn grassland: 0.13, shurb-steppe: 0.04, mid-successional juniper: 0.04",Birds/ha/yr,,,"Postburn grassland: 0.02, shurb-steppe: 0.02, mid-successional juniper: 0.01",,Adult,Deschutes and Lake Counties,,Exposure Factor Datasets
Sturnella neglecta (Western Meadowlark),Survival/ Mortality,"1998-2003: 1.964, 2005-2007: 3.817",Fatality rate due to wind turbines,,,"1998-2003: 0.526, 2005-2007: 0.693",,,Altamont Pass Wind Resource Area,,Exposure Factor Datasets
Sturnella neglecta (Western Meadowlark),Survival/ Mortality,"Before repowering: 2.249, after repowering: 1.747, old generation turbines: 3.135",Fatality rate due to wind turbines,,,"Before repowering: 0.945, after repowering: 0.597, old generation turbines:0.338",,,Diablo Winds Energy Project,,Exposure Factor Datasets
Empidonax traillii (Willow Flycatcher),Dietary Composition,"Diptera: 74.6, Hemiptera: 64.4, Coleoptera: 52.5, Oldonata: 40.7, Hymenoptera/flying: 35.6, Cicadellidae: 35.6, Araneae: 30.5, plant: 13.6, Leipidoptera larva: 11.9, unidentified insect: 10.2, Homoptera/other: 8.5, Lepidoptera adult: 6.8, Isoptera: 6.8, Formicidae: 3.4",Diet based on fecal samples,,,,NR,Not Reported,Kern River Preserve,59,Exposure Factor Datasets
Empidonax traillii (Willow Flycatcher),Dietary Composition,See citation Figures 1 & 3,Diet based on fecal samples,,,,,Adult,Roosevelt Lake,100,Exposure Factor Datasets
Empidonax traillii (Willow Flycatcher),Dietary Composition,See citation Figure 1 & 4,Diet based on fecal samples,,,,,Nestling,Roosevelt Lake,98,Exposure Factor Datasets
Empidonax traillii (Willow Flycatcher),Home Range,"Chomes site: 0.48, Bolson site: 0.82",,,,"Chomes site: 0.04, Bolson site: 0.08",M,Adult,"Chomes site: 10⁰05'N, 85⁰05'W, Bolson site: 10⁰20'N, 85⁰25'W","Chomes: 47, Bolson: 44",Exposure Factor Datasets
Empidonax traillii (Willow Flycatcher),Home Range,"Chomes site: 0.46, Bolson site: 0.77",,,,"Chomes site: 0.05, Bolson site: 0.18",F,Adult,"Chomes site: 10⁰05'N, 85⁰05'W, Bolson site: 10⁰20'N, 85⁰25'W","Chomes: 69, Bolson: 25",Exposure Factor Datasets
Empidonax traillii (Willow Flycatcher),Population Density,Review,Pairs/site,,,,B,Adult,,,Exposure Factor Datasets
Empidonax traillii (Willow Flycatcher),Hatching Success,Review,Nest success,,,,B,Embryo,,,Exposure Factor Datasets
Empidonax traillii (Willow Flycatcher),Survival/ Mortality,"Breeding grounds: 66 [64-69 (95%CI)], Wintering grounds: 65 [51-79 (95% CI)]",Seasonal estimate,,,,,,"Breeding: Roosevelt Lake & San Pedro/Gila River confluence; wintering: Chomes site: 10⁰05'N, 85⁰05'W, Bolson site: 10⁰20'N, 85⁰25'W",,Exposure Factor Datasets
Empidonax traillii (Willow Flycatcher),Survival/ Mortality,"Breeding grounds: 97 [96-97 (95%CI)], Wintering grounds: 96 [96-97 (95% CI)]",Monthly estimate,,,,,,"Breeding: Roosevelt Lake & San Pedro/Gila River confluence; wintering: Chomes site: 10⁰05'N, 85⁰05'W, Bolson site: 10⁰20'N, 85⁰25'W",,Exposure Factor Datasets
Spermophilus beecheyi (California Ground Squirrel),Inhalation Rate,0.4,Air intake,,,,M,Yearling,Altamont Hills,7,Exposure Factor Datasets
Spermophilus beecheyi (California Ground Squirrel),Body Weight - Mean,"Historical: 551.97, modern: 527.09",,,,"Historical: 124.77, modern: 126.93",,,,"Historical: 117, modern: 55",Exposure Factor Datasets
