Animal Name,Chemical,Endpoint Value,Endpoint Description,Range,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type
Phalacrocorax auritus,"TETRACHLORODIBENZO-P-DIOXIN (2,3,7,8-)",28.3 pg/g bw gained (wet wt),pg TCDD equivalents accumulated per gram of body weight gained (from eggs to largest chicks),,Not Reported,Nestling,"North Channel, Lake Huron",20 chicks,"7.6 pg TCDD equivalents/g fish, wet wt",TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Dipodomys merriami,HEXACHLOROETHANE,decrease,"mean chromosomal abberrations per cell, compared to controls (not exposed to obscurant smoke)",,Not Reported,Not Reported,"Goldstone, Fort Irwin",3-4/group,control site and site 15 m from smoke source of fogoil and hexachloroethane,TOX-Non-Repro-Sublethal - genetic effects,30 min.,site contamination,Toxicity Factor Datasets
Taricha torosa,CHLORDANE,"8,906 ppb,  range; 4,954 - 15, 609 ppb",mean and range of total technical chlordane residues in newt carcasses (without liver and stomach) 14 days after application,,Both Male and Female,Both Adults and Juveniles,,4,"aerial application; water residues, 4.6 ppb (day 7), 0.29 ppb (day 52), 0.009 ppb (day 421); sediment residues, 35 ppb (day 7), 34 ppb (day 52), 20 ppb (day 1014)",TOX-EXP IND - accumulation,14 d,field application,Toxicity Factor Datasets
Taricha torosa,CHLORDANE,"2,116 ppb, range; 1,354 - 3,783 ppb",mean and range of total technical chlordane residues in newt carcasses (without liver and stomach) 451 days after application,,Both Male and Female,Both Adults and Juveniles,,6,"aerial application; water residues, 4.6 ppb (day 7), 0.29 ppb (day 52), 0.009 ppb (day 421); sediment residues, 35 ppb (day 7), 34 ppb (day 52), 20 ppb (day 1014)",TOX-EXP IND - accumulation,451 d,field application,Toxicity Factor Datasets
Taricha torosa,CHLORDANE,"176 ppb, range; 29 - 272 ppb",mean and range of total technical chlordane residues in newt carcasses (without liver and stomach) 1036 days after application,,Both Male and Female,Both Adults and Juveniles,,8,"aerial application; water residues, 4.6 ppb (day 7), 0.29 ppb (day 52), 0.009 ppb (day 421); sediment residues, 35 ppb (day 7), 34 ppb (day 52), 20 ppb (day 1014)",TOX-EXP IND - accumulation,1036 d,field application,Toxicity Factor Datasets
Phalacrocorax auritus,"TETRACHLORODIBENZO-P-DIOXIN (2,3,7,8-)",47.5 pg/g bw gained (wet wt),pg TCDD equivalents accumulated per gram of body weight gained (from eggs to largest chicks),,Not Reported,Nestling,"St. Martin's Shoal, Lake Huron",20 chicks,"11.1 pg TCDD equivalents/g fish, wet wt",TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Dipodomys merriami,METHYLPARATHION,no effect,discrimination between seeds and beads,,Both Male and Female,Adult,,22 animals,"control, 5 mg/kg bw",TOX-Non-Repro-Sublethal - behavioral effects,single dose,gavage,Toxicity Factor Datasets
Dipodomys merriami,METHYLPARATHION,18-19 % decrease,"brain cholinesterase activity, compared to control",,Both Male and Female,Adult,,2 animals,"control, 5 mg/kg bw",TOX-EXP IND - biomarkers,single dose,gavage,Toxicity Factor Datasets
Dipodomys merriami,METHYLPARATHION,"97.1 mg/kg (95% CI, 42.6-178.6 mg/kg)",LD50,,Both Male and Female,Adult,,3-4 animals/group,"0,35,56,90,143 mg/kg",TOX-MORT - dose-response data,single dose,gavage,Toxicity Factor Datasets
Charadrius vociferus,CARBARYL,"increased at 0.56 kg/ha (2, 8-9 d. post-spray)",whole carcass concentration of carbaryl,,Not Reported,Not Reported,,8-9 birds/group,"0, 0.44, 0.56 kg/ha application",TOX-EXP IND - accumulation,"2, 8-9, 21-30 d. post-spray",field application,Toxicity Factor Datasets
Charadrius vociferus,CARBARYL,no effect,whole carcass lipid content,,Not Reported,Not Reported,,6-13 birds/group,"0, 0.44, 0.56 kg/ha application",TOX-Non-Repro-Sublethal - whole animal,"2, 8-9, 21-30 d. post-spray",field application,Toxicity Factor Datasets
Charadrius vociferus,CARBARYL,no effect,brain acetylcholinesterase activity,,Not Reported,Not Reported,,6-13 birds/group,"0, 0.44, 0.56 kg/ha application",TOX-EXP IND - biomarkers,"2, 8-9, 21-30 d. post-spray",field application,Toxicity Factor Datasets
Charadrius vociferus,"DDE (4,4'-)",no correlation with DDE residues in eggs,eggshell thickness,,Female,Adult,McHenry and Billings Counties,12 eggs,0.57 ppm DDE in eggs,TOX-REPRO - physiology,NR,diet,Toxicity Factor Datasets
,STRYCHNINE,2,carcass count in 1 field (25m x 75m),,Not Reported,Not Reported,,2,375 ug/g seed bait,TOX-MORT - mortality in the field,NR,diet,Toxicity Factor Datasets
,STRYCHNINE,86 ug strychnine/0.3 g stomach content,maximal concentration of strychnine measured in stomachs of dead killdeer,,Not Reported,Not Reported,,2,375 ug/g seed bait,TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Zenaida macroura,"ACEPHATE, CARBARYL, DIAZINON",no effect,"percent nest success, eggs hatched, and nestlings fledged",,Both Male and Female,Both Adults and Juveniles,"Winnebago, Outagamie, Calumet Counties",37 nests,"601 ppm acephate, 1196 ppm carbaryl, or 598 ppm diazinon application rates",TOX-REPRO - reproductive success,NR,field application,Toxicity Factor Datasets
Zenaida macroura,CARBARYL,decreased at 1196 ppm carbaryl,plasma cholinesterase activity,,Both Male and Female,Nestling,"Winnebago, Outagamie, Calumet Counties",37 nests,1196 ppm carbaryl application rate,TOX-EXP IND - biomarkers,NR,field application,Toxicity Factor Datasets
Zenaida macroura,"ACEPHATE, CARBARYL, DIAZINON",no effect,brain cholinesterase activity,,Both Male and Female,Nestling,"Winnebago, Outagamie, Calumet Counties",37 nests,"601 ppm acephate, 1196 ppm carbaryl, or 598 ppm diazinon application rates",TOX-EXP IND - biomarkers,NR,field application,Toxicity Factor Datasets
Zenaida macroura,"TRICHLOROPHENOXYACETIC ACID (2,4,5-)",increased post-application from 1 to 4.1 birds per 40 ha,population density,,,Adult,Truckee area,9 censuses pre- and post-spray,0.72 kg/ha,TOX-Non-Repro-Sublethal - indirect effects,NR,field application,Toxicity Factor Datasets
Zenaida macroura,"AZINPHOS-METHYL (GUTHION), DIMETHOATE, ENDOSULFAN, METHYLPARATHION, PARATHION, PERMETHRIN, THIRAM, ZIRAM",decreased in conventional orchards,daily survival rates,,Not Reported,Nestling,"York Springs, Adams Co.",29 conventional nests,organic or conventional pest management (standard application rates),TOX-MORT - mortality in the field,breeding period,field application,Toxicity Factor Datasets
Zenaida macroura,"AZINPHOS-METHYL (GUTHION), DIMETHOATE, ENDOSULFAN, METHYLPARATHION, PARATHION, PERMETHRIN, THIRAM, ZIRAM",decreased in conventional orchards,hatching success,,Not Reported,Nestling,"York Springs, Adams Co.",29 conventional nests,organic or conventional pest management (standard application rates),TOX-REPRO - reproductive success,breeding period,field application,Toxicity Factor Datasets
Zenaida macroura,"AZINPHOS-METHYL (GUTHION), DIMETHOATE, ENDOSULFAN, METHYLPARATHION, PARATHION, PERMETHRIN, THIRAM, ZIRAM",no effect,numbers of eggs laid or number of fledglings produced,,Not Reported,Both Adults and Juveniles,"York Springs, Adams Co.",29 conventional nests,organic or conventional pest management (standard application rates),TOX-REPRO - reproductive success,breeding period,field application,Toxicity Factor Datasets
Zenaida macroura,CARBOFURAN,4,carcass count in a treated rice field,,Not Reported,Not Reported,Lavaca Bay area,Not Reported,"22.0-91.0 ppm, wet wt, measured on rice grains",TOX-MORT - mortality in the field,NR,diet,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),no effect,mortality in dosed birds,,Female,Adult,,12/group,1#8 lead shot (70.0 +/- 0.5 mg),TOX-MORT - dose-response data,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),no effect,body weight,,Female,Adult,,12/group,1#8 lead shot (70.0 +/- 0.5 mg),TOX-Non-Repro-Sublethal - whole animal,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),"65.4-123.2 ug/g, dry wt",mean lead concentrations in femur (greater accumulation with mixed seed vs. pelleted diet),,Female,Adult,,12/group,1#8 lead shot (70.0 +/- 0.5 mg),TOX-EXP IND - accumulation,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),"2.80-4.98 ug/g, dry wt",mean lead concentrations in liver (greater accumulation with mixed seed vs. pelleted diet),,Female,Adult,,12/group,1#8 lead shot (70.0 +/- 0.5 mg),TOX-EXP IND - accumulation,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),"47.2-190.7 ug/g, dry wt",mean lead concentrations in kidney (greater accumulation with mixed seed vs. pelleted diet),,Female,Adult,,12/group,1#8 lead shot (70.0 +/- 0.5 mg),TOX-EXP IND - accumulation,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),increased at all doses,mortality,,Not Reported,Adult,,25 birds/dose,"0, 1, 2, or 4 #8 lead shots",TOX-MORT - dose-response data,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),no effect,"female fertility or productivity, egg weight and size",,Female,Adult,,25 birds/dose,"0, 1 #8 lead shots",TOX-REPRO - physiology,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),decreased,hatchability,,Not Reported,Hatchling,,25 birds/dose,"0, 1 #8 lead shots",TOX-REPRO - reproductive success,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),no effect,body weight at hatch,,Not Reported,Hatchling,,25 birds/dose,"0, 1 #8 lead shots",TOX-REPRO - development,single,oral (parent),Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),no effect,mortality,,Female,Adult,,25 birds/dose,"0, 1 #8 lead shots",TOX-MORT - dose-response data,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),"169.2 ug/g, dry wt.",lead concentration in bone,58.1-356.4,Not Reported,Adult,,10 birds,two #8 lead shots,TOX-EXP IND - accumulation,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),"198.2 ug/g, dry wt",lead concentration in bone,46.7-435.0,Not Reported,Adult,,10 birds,four #8 lead shots,TOX-EXP IND - accumulation,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),no effect,post-dosing survival of free-ranging radio-transmittered birds,,Not Reported,Both Adults and Juveniles,,"26 treated birds, 29 control birds",one #8 lead shot,TOX-MORT - mortality in the field,single,,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),decreased,blood delta-aminolevulinic acid dehydratase activity,,Not Reported,Not Reported,,5 birds,one #8 lead shot,TOX-EXP IND - biomarkers,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),light lesions present,histological exam of acid-fast intranuclear inclusions of cells of kidney proximal convoluted tubules,,Not Reported,Not Reported,,2,four #8 lead shots,TOX-Non-Repro-Sublethal - organ/system effects,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),"639.43 and 345.95 ug/g, dry wt",lead concentration in kidneys of treated birds,,Not Reported,Not Reported,,2,four #8 lead shots,TOX-EXP IND - accumulation,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),"58.35 and 214.71 ug/g, dry wt",lead concentrations in livers of dosed birds,,Not Reported,Not Reported,,2,four #8 lead shots,TOX-EXP IND - accumulation,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),light to moderate lesions,histological exam for hemosiderin loading in liver,,Not Reported,Not Reported,,2,four #8 lead shots,TOX-Non-Repro-Sublethal - organ/system effects,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),high degree of lesions present,histological exam of acid-fast intranuclear inclusions of cells of kidney proximal convoluted tubules,,Not Reported,Not Reported,,1,four #8 lead shots,TOX-Non-Repro-Sublethal - organ/system effects,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),high degree of lesions present,histological exam for hemosiderin loading in liver,,Not Reported,Not Reported,,1,four #8 lead shots,TOX-Non-Repro-Sublethal - organ/system effects,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),"1,297.57 ug/g, dry wt",lead concentration in kidneys,,Not Reported,Not Reported,,1,four #8 lead shots,TOX-EXP IND - accumulation,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),"178.81 ug/g, dry wt",lead concentration in liver,,Not Reported,Not Reported,,1,four #8 lead shots,TOX-EXP IND - accumulation,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),"increased at 1, 4 shots",mortality,,Both Male and Female,Adult,,10 birds/dose,"0, 1, 2, or 4 #8 lead shots",TOX-MORT - dose-response data,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),increased at all doses,lead concentrations in blood,,Both Male and Female,Adult,,10 birds/dose,"0, 1, 2, or 4 #8 lead shots",TOX-EXP IND - accumulation,single,oral,Toxicity Factor Datasets
Zenaida macroura,LEAD (elemental),decreased at all doses,delta-aminolevulinic acid dehydratase (ALAD)activity in blood,,Both Male and Female,Adult,,10 birds/dose,"0, 1, 2, or 4 #8 lead shots",TOX-EXP IND - biomarkers,single,oral,Toxicity Factor Datasets
Zenaida macroura,AROCLOR 1254,increased at 10 ppm,interval from nest occupation to egg-laying,,Female,Adult,,10-13/group,"0, or 10 ppm in diet",TOX-REPRO - behavior,28 d,diet,Toxicity Factor Datasets
Zenaida macroura,AROCLOR 1254,decreased at 10 ppm,percent of birds that laid eggs,,Female,Adult,,10-13/group,"0, or 10 ppm in diet",TOX-REPRO - physiology,28 d,diet,Toxicity Factor Datasets
Zenaida macroura,AROCLOR 1254,no effect,progesterone concentration in blood,,Female,Adult,,10-13/group,"0, or 10 ppm in diet",TOX-REPRO - physiology,28 d,diet,Toxicity Factor Datasets
Zenaida macroura,AROCLOR 1254,earlier @ 10 ppm,timing of peak progesterone concentration in blood,,Female,Adult,,10-13/group,"0, or 10 ppm in diet",TOX-REPRO - physiology,28 d,diet,Toxicity Factor Datasets
Zenaida macroura,AROCLOR 1254,"increased at 10, 40 ppm",length of courtship period,,Both Male and Female,Adult,,8/group,"0, 10, 40 ppm  in diet",TOX-REPRO - behavior,42 d,diet,Toxicity Factor Datasets
Zenaida macroura,AROCLOR 1254,decreased at 40 ppm,courtship behavior score (intensity),,Both Male and Female,Adult,,8/group,"0, 10, 40 ppm in diet",TOX-REPRO - behavior,42 d,diet,Toxicity Factor Datasets
Zenaida macroura,AROCLOR 1254,"decreased at 10, 40 ppm",number of pairs nesting,,Both Male and Female,Adult,,8/group,"0, 10, 40 ppm in diet",TOX-REPRO - behavior,42 d,diet,Toxicity Factor Datasets
Zenaida macroura,AROCLOR 1254,delayed at 10 ppm,onset of nest initiation,,Both Male and Female,Adult,,8/group,"0, 10, 40 ppm in diet",TOX-REPRO - behavior,42 d,diet,Toxicity Factor Datasets
Zenaida macroura,AROCLOR 1254,no effect,metabolic rate at a range of ambient temperatures,,Male,Adult,,4/group,0 or 40 ppm in diet,TOX-Non-Repro-Sublethal - whole animal,42 d,diet,Toxicity Factor Datasets
Zenaida macroura,AROCLOR 1254,no effect,body weight,,Male,Adult,,10/group,0 or 40 ppm in diet,TOX-Non-Repro-Sublethal - whole animal,42 d,diet,Toxicity Factor Datasets
Zenaida macroura,AROCLOR 1254,decreased at 40 ppm,body temperature at a range of ambient temperatures,,Male,Adult,,4/group,0 or 40 ppm in diet,TOX-Non-Repro-Sublethal - whole animal,42 d,diet,Toxicity Factor Datasets
Zenaida macroura,METHIOCARB,"decreased at 1,000 ppm",body weight,,Not Reported,Not Reported,,6/group,"0, 100, 316, or 1,000 ppm in diet",TOX-Non-Repro-Sublethal - whole animal,30 d,diet,Toxicity Factor Datasets
Zenaida macroura,METHIOCARB,decreased at all doses,food consumption,,Not Reported,Not Reported,,6/group,"0, 100, 316, or 1,000 ppm in diet",TOX-Non-Repro-Sublethal - behavioral effects,30 d,diet,Toxicity Factor Datasets
Zenaida macroura,AMINOPYRIDINE (4-),150 ppm,dose at which 50% mortality was observed,,Not Reported,Adult,,7/group,"150, 300, 600, 1,000 ppm 4-aminopyridine in corn bait",TOX-MORT - dose-response data,7 d,diet,Toxicity Factor Datasets
Zenaida macroura,AMINOPYRIDINE (4-),316 ppm,dietary LC50,,Not Reported,Adult,,6/group,"0, 31.6, 100, 316 ppm 4-aminopyridine in diet",TOX-MORT - dose-response data,30 d,diet,Toxicity Factor Datasets
Zenaida macroura,ALDICARB,0.82,LD50,,Not Reported,Adult,,50 birds total,"0.66, 0.74, 0.82, 0.90, 1.02, 1.10, 1.22, 1.40 mg/kg bw",TOX-MORT - toxicity benchmarks,single,oral,Toxicity Factor Datasets
Zenaida macroura,ALDICARB,no effect,daily survival rate in dosed wild birds,,Not Reported,Adult,,9-12/group,"0, 0.48, 0.55, 0.83 mg/kg bw",TOX-MORT - mortality in the field,single,oral,Toxicity Factor Datasets
Zenaida macroura,"PICLORAM, TRICLOPYR",no effect,nesting success in treated plots,,Both Male and Female,Adult,Rob and Bessie Welder Wildlife Refuge,Not Reported,38 l/ha application,TOX-Non-Repro-Sublethal - indirect effects,NR,field application,Toxicity Factor Datasets
Zenaida macroura,"DDT (4,4'-)",no effect,,,Not Reported,Embryo,Patuxent Research Refuge,2 eggs,1 lb/gal DDT application to nest applied at 0.4 ml/ft^2,TOX-REPRO - reproductive success,single,egg surface,Toxicity Factor Datasets
Pelecanus occidentalis ssp. californicus,"DDD (4,4'-), DDE (4,4'-), DDT (4,4'-)",significantly decreased compared to pre-1943 samples,eggshell thickness (of intact or broken eggshells),,Female,Adult,Anacapa Island and Isla Coronado Norte,86 eggs,"0.03 ppm DDT plus TDE, 0.12 ppm DDE, wet wt in anchovies",TOX-REPRO - physiology,NR,diet,Toxicity Factor Datasets
Pelecanus occidentalis ssp. californicus,"DDD (4,4'-), DDE (4,4'-), DDT (4,4'-)",increased compared to positive control (1969 data),mean number of fledglings produced per nest in 1974,,Both Male and Female,Fledgling,Anacapa Island and Isla Coronado Norte,1286 nests,"0.03 ppm DDT plus TDE, 0.12 ppm DDE, wet wt in anchovies",TOX-REPRO - reproductive success,NR,diet,Toxicity Factor Datasets
Pelecanus occidentalis ssp. californicus,"DDD (4,4'-), DDE (4,4'-), DDT (4,4'-)","non-detectable DDT plus TDE, 96.6 ppm DDE, lipid wet basis",concentration in egg contents,,Female,Adult,Anacapa Island and Isla Coronado Norte,39 eggs,"0.03 ppm DDT plus TDE, 0.12 ppm DDE, wet wt in anchovies",TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Pelecanus occidentalis,"AROCLOR 1254, DDD (4,4'-), DDE (4,4'-), DDT (4,4'-), DIELDRIN","0.896 ppm DDE, 0.256 ppm DDD, 0.166 ppm DDT, 0.208 dieldrin, 2.241 ppm PCB 1254",mean residues in eggs,,Female,Adult,east coast,29 eggs,"0.017 ppm DDE, 0.016 ppm DDD, 0.020 ppm DDT, 0.005 ppm dieldrin, 0.196 ppm PCB 1254, wet wt",TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Pelecanus occidentalis,"DDE (4,4'-)",8 ug/g,critical threshold of DDE concentration in egg (wet wt basis) associated with 20% eggshell thinning,,Both Male and Female,Embryo,,813 eggs,ND-100 ug/g in eggs,TOX-REPRO - physiology,NR,diet,Toxicity Factor Datasets
Pelecanus occidentalis,"DDE (4,4'-)",3 ug/g,lowest level of DDE that would result in severely lowered reproductive success,,Both Male and Female,Embryo,,156 eggs,ND-9 ug/g in eggs,TOX-REPRO - reproductive success,NR,diet,Toxicity Factor Datasets
Pelecanus occidentalis,"DDE (4,4'-)",3 ug/g,level in eggs associated with impaired reproductive success (successful nests fledged at least one chick),,Both Male and Female,Juvenile,,156 eggs,"0.36-8.60 ppm, wet wt in eggs",TOX-REPRO - reproductive success,NR,in ovo,Toxicity Factor Datasets
Pelecanus occidentalis,FUEL OILS,decrease,hatching success (proportion of eggs hatched per clutch) of oiled versus control eggs,,Not Reported,Embryo,Cape Fear River,61-205 eggs,oil spill,TOX-REPRO - reproductive success,NR,egg surface,Toxicity Factor Datasets
Aechmophorus occidentalis,"DDD (4,4'-), DDE (4,4'-)",decreased compared with pre-1940 eggs,eggshell thickness index (Ratcliffe's Index),,Not Reported,Embryo,Bear River Migratory Bird Refuge,93 eggs,"6.6 ppm DDE, 1.3 ppm DDD in eggs, wet wt",TOX-REPRO - physiology,NR,in ovo,Toxicity Factor Datasets
Aechmophorus occidentalis,"DDE (4,4'-)","12.8 ppm DDE, 0.8 ppm DDD, wet wt",mean concentration in breast muscle,,Not Reported,Adult,Bear River Migratory Bird Refuge,24 birds,0.01-0.02 ppm DDE in fish,TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Aechmophorus occidentalis,"DDE (4,4'-)","61.5 ppm DDE, 5.2 ppm DDD, wet wt",mean concentration in visceral fat,,Not Reported,Adult,Bear River Migratory Bird Refuge,18 birds,0.01-0.02 ppm DDE in fish,TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Aechmophorus occidentalis,"DDE (4,4'-)","0.55 ppm DDE, 0.07 ppm DDD, wet wt",mean concentration in blood,,Not Reported,Adult,Bear River Migratory Bird Refuge,16 birds,0.01-0.02 ppm DDE in fish,TOX-EXP IND - accumulation,NR,diet,Toxicity Factor Datasets
Aechmophorus occidentalis,"DDE (4,4'-)","6.6 ppm DDE, 1.3 ppm DDD, wet wt",mean concentration in whole eggs,,Not Reported,Embryo,,40 eggs,0.01-0.02 ppm DDE in fish,TOX-EXP IND - accumulation,NR,diet (parental),Toxicity Factor Datasets
Aechmophorus occidentalis,"DDD (4,4'-), DDE (4,4'-), DDT (4,4'-), POLYCHLORINATED BIPHENYLS",no effect,eggshell thickness compared with pre-1947 measurements,,Not Reported,Embryo,Tule Lake National Wildlife Refuge,29 eggs,"1.4 ppm DDE, 0.18 ppm DDT+DDD, 2.21 ppm PCBs in eggs",TOX-REPRO - physiology,NR,in ovo,Toxicity Factor Datasets
Spermophilus beecheyi,STRYCHNINE,increase at 6.7-44.5 mg/kg bw,,,Both Male and Female,Not Reported,,3-5/group,"0.01, 0.05, 0.5%; also reported as 1.4, 6.7, 44.5 mg/kg bw",TOX-MORT - dose-response data,24 hr,drinking water,Toxicity Factor Datasets
Pseudacris regilla,AZINPHOS-METHYL (GUTHION),3.77 mg/l (95% CI; 1.82 - 4.22),LC50,,Not Reported,Tadpole,,10 tadpoles/replicate; 2 replicates/dose; 5 doses,0.01-9.67 mg/l,TOX-MORT - toxicity benchmarks,8 d,waterborne,Toxicity Factor Datasets
Pseudacris regilla,AZINPHOS-METHYL (GUTHION),1.78 mg/l,NOAEL,,Not Reported,Tadpole,,10 tadpoles/replicate; 2 replicates/dose; 5 doses,0.01-9.67 mg/l,TOX-MORT - toxicity benchmarks,8 d,waterborne,Toxicity Factor Datasets
Pseudacris regilla,AZINPHOS-METHYL (GUTHION),9.67 mg/l,LOAEL,,Not Reported,Tadpole,,10 tadpoles/replicate; 2 replicates/dose; 5 doses,0.01-9.67 mg/l,TOX-MORT - toxicity benchmarks,8 d,waterborne,Toxicity Factor Datasets
Enhydra lutris,CRUDE OILS,review,,,Not Reported,Not Reported,,Not Reported,multiple,TOX-Non-Repro-Sublethal - whole animal,NR,NR,Toxicity Factor Datasets
Falco sparverius,"FLUORIDE, SODIUM","247.0 +/- 103.1 ppm @ 0 ppm; 6137.9 +/- 823.8 ppm @ 1120 ppm; 10,272.6 +/- 865.8 ppm @ 2240 ppm",mean fluoride content in the diaphyses of femurae,,Both Male and Female,Juvenile,,9-10/group,"0, 1120, 2240 ppm fluoride",TOX-EXP IND - accumulation,20 d,diet,Toxicity Factor Datasets
Falco sparverius,"FLUORIDE, SODIUM",no effect,"growth of body weight and skeletal components (skull, bill, tarsus, antebrachium, and manus)",,Both Male and Female,Juvenile,,9-10/group,"0, 1120, 2240 ppm fluoride",TOX-REPRO - development,20 d,diet,Toxicity Factor Datasets
Falco sparverius,"FLUORIDE, SODIUM","increased at 1120, 2240 ppm",% bone ash,,Both Male and Female,Juvenile,,9-10/group,"0, 1120, 2240 ppm fluoride",TOX-REPRO - development,20 d,diet,Toxicity Factor Datasets
Falco sparverius,"FLUORIDE, SODIUM",decreased at 2240 ppm,bonebreaking strength,,Both Male and Female,Juvenile,,9-10/group,"0, 1120, 2240 ppm fluoride",TOX-REPRO - development,20 d,diet,Toxicity Factor Datasets
Falco sparverius,"PCB 105 (2,3,3',4,4'-PENTACHLOROBIPHENYL), PCB 126 (3,3',4,4',5-PENTACHLOROBIPHENYL), PCB 153 (2,2',4,4',5,5'-HEXACHLOROBIPHENYL)",increased with PCB 153,aminopyrine N-demethylase and aldrin epoxidase activities in liver,,Female,Adult,,5-6/group,"0, 4 mg/kg/d PCB 153, 3 mg/kg/d PCB 105, or 0.05 mg/kg/d PCB 126; 3 x's/wk",TOX-Non-Repro-Sublethal - cellular/biochemical effects,4 wk,oral,Toxicity Factor Datasets
Falco sparverius,"PCB 105 (2,3,3',4,4'-PENTACHLOROBIPHENYL), PCB 126 (3,3',4,4',5-PENTACHLOROBIPHENYL), PCB 153 (2,2',4,4',5,5'-HEXACHLOROBIPHENYL)",increased with PCB 105,aminopyrine N-demethylase activity in liver,,Female,Adult,,5-6/group,"0, 4 mg/kg/d PCB 153, 3 mg/kg/d PCB 105, or 0.05 mg/kg/d PCB 126; 3 x's/wk",TOX-Non-Repro-Sublethal - cellular/biochemical effects,4 wk,oral,Toxicity Factor Datasets
Falco sparverius,"PCB 105 (2,3,3',4,4'-PENTACHLOROBIPHENYL), PCB 126 (3,3',4,4',5-PENTACHLOROBIPHENYL), PCB 153 (2,2',4,4',5,5'-HEXACHLOROBIPHENYL)",increased with PCB 126,7-ethoxyresorufin O-deethylase and aldrin epoxidase activities in liver,,Female,Adult,,5-6/group,"0, 4 mg/kg/d PCB 153, 3 mg/kg/d PCB 105, or 0.05 mg/kg/d PCB 126; 3 x's/wk",TOX-Non-Repro-Sublethal - cellular/biochemical effects,4 wk,oral,Toxicity Factor Datasets
Falco sparverius,"PCB 105 (2,3,3',4,4'-PENTACHLOROBIPHENYL), PCB 126 (3,3',4,4',5-PENTACHLOROBIPHENYL), PCB 153 (2,2',4,4',5,5'-HEXACHLOROBIPHENYL)",no effect,hepatic porphyrin levels,,Female,Adult,,5-6/group,"0, 4 mg/kg/d PCB 153, 3 mg/kg/d PCB 105, or 0.05 mg/kg/d PCB 126; 3 x's/wk",TOX-Non-Repro-Sublethal - cellular/biochemical effects,4 wk,oral,Toxicity Factor Datasets
Falco sparverius,"PCB 105 (2,3,3',4,4'-PENTACHLOROBIPHENYL), PCB 126 (3,3',4,4',5-PENTACHLOROBIPHENYL), PCB 153 (2,2',4,4',5,5'-HEXACHLOROBIPHENYL)",no effect,liver weight,,Female,Adult,,5-6/group,"0, 4 mg/kg/d PCB 153, 3 mg/kg/d PCB 105, or 0.05 mg/kg/d PCB 126; 3 x's/wk",TOX-Non-Repro-Sublethal - organ/system effects,4 wk,oral,Toxicity Factor Datasets
Falco sparverius,"PCB 105 (2,3,3',4,4'-PENTACHLOROBIPHENYL), PCB 126 (3,3',4,4',5-PENTACHLOROBIPHENYL), PCB 153 (2,2',4,4',5,5'-HEXACHLOROBIPHENYL)","2.4 (control), 119.0 (PCB 153), 182.0 (PCB 105), 3.3 (PCB 126) mg/kg, wet weight",PCB concentrations in pooled adipose tissue,,Female,Adult,,5-6/group,"0, 4 mg/kg/d PCB 153, 3 mg/kg/d PCB 105, or 0.05 mg/kg/d PCB 126; 3 x's/wk",TOX-EXP IND - accumulation,4 wk,oral,Toxicity Factor Datasets
